player_name,Team,Season,Position,Minutes,Dribbling,Fouling,Interrupting,Passing,Receiving,Shooting,Goals Added,goals_added_per_90
Javier Casas,CHI,2023,DM,74,-0.02,0,-0.01,0.02,-0.03,-0.01,-0.06,-0.07297297297
Jhojan Valencia,ATX,2023,CM,1589,-0.24,-0.18,0.13,-0.42,-0.37,-0.22,-1.29,-0.07306482064
Bode Davis,RSL,2023,FB,1340,0.05,-0.02,-0.16,-0.44,-0.34,-0.19,-1.09,-0.07320895522
Dixon Arroyo,MIA,2023,CM,1977,-0.81,-0.02,0.38,-0.31,-0.66,-0.2,-1.61,-0.07329286798
Miguel Perez,STL,2023,DM,695,-0.23,-0.12,0.02,-0.16,-0.05,-0.03,-0.58,-0.07510791367
Robert Taylor,MIA,2023,W,1626,-1.07,-0.15,0.05,-0.08,0.16,-0.27,-1.36,-0.07527675277
Efrain Álvarez,LAG,2023,W,429,-0.01,-0.04,-0.11,-0.01,-0.17,-0.02,-0.36,-0.07552447552
Mark-Anthony Kaye,"NER, TOR",2023,DM,2859,-0.55,-0.24,-0.07,-0.65,-0.59,-0.31,-2.41,-0.0758656873
Birk Risa,NYC,2023,CB,946,0.03,0.09,-0.43,-0.23,-0.18,-0.06,-0.8,-0.07610993658
Cade Cowell,SJE,2023,W,1653,-0.73,0.11,-0.17,-0.76,0.28,-0.12,-1.4,-0.07622504537
Raúl Ruidíaz,SEA,2023,ST,1152,-0.97,-0.14,0,-0.5,0.27,0.36,-0.98,-0.0765625
Kerwin Calderón Vargas,CLT,2023,W,1633,-0.26,-0.18,0.06,-0.16,-0.76,-0.1,-1.39,-0.07660747091
Philip Quinton,CLB,2023,CB,1055,-0.17,-0.15,-0.29,-0.09,-0.14,-0.07,-0.9,-0.07677725118
Deandre Kerr,TOR,2023,ST,1312,0.04,-0.08,-0.19,-0.51,-0.26,-0.12,-1.12,-0.07682926829
Cameron Duke,SKC,2023,FB,152,0.05,0,0.01,-0.05,-0.09,-0.05,-0.13,-0.07697368421
Victor Wanyama,MTL,2023,CM,1968,-0.14,-0.12,-0.08,-0.52,-0.5,-0.33,-1.69,-0.07728658537
Luca Petrasso,ORL,2023,FB,500,-0.36,0.01,0.14,-0.01,-0.13,-0.08,-0.43,-0.0774
Gabriel Segal,NYC,2023,ST,473,-0.17,-0.03,0.14,-0.17,-0.17,0,-0.41,-0.07801268499
Orrin McKinze Gaines II,CLT,2023,W,841,0.19,-0.01,-0.16,-0.29,-0.26,-0.2,-0.73,-0.07812128419
Marco Angulo,CIN,2023,CM,909,-0.12,-0.13,0.55,-0.62,-0.32,-0.14,-0.79,-0.07821782178
Luis Amarilla,MIN,2023,ST,814,-0.26,0.11,0.18,-0.23,-0.34,-0.17,-0.71,-0.0785012285
Derrick Jones,CLT,2023,DM,2094,-0.35,-0.2,-0.1,-0.97,-0.16,-0.06,-1.83,-0.07865329513
Samuel Adeniran,STL,2023,ST,1037,0.31,-0.41,-0.2,0,-0.54,-0.06,-0.91,-0.07897782064
DeAndre Yedlin,MIA,2023,FB,2585,-0.28,-0.2,-0.78,-0.64,-0.11,-0.27,-2.27,-0.07903288201
Santiago Sosa,ATL,2023,DM,1013,-0.16,-0.05,-0.23,-0.2,-0.14,-0.13,-0.89,-0.07907206318
Yevhen Cheberko,CLB,2023,CB,227,-0.08,0,-0.06,0.02,-0.05,-0.03,-0.2,-0.07929515419
Mohanad Jeahze,DCU,2023,FB,407,-0.04,0.03,-0.34,0.04,-0.05,0,-0.36,-0.07960687961
Teal Bunbury,NSH,2023,ST,1813,-0.17,-0.21,-0.35,-0.26,-0.32,-0.3,-1.61,-0.07992277992
Alfredo Morales,NYC,2023,CM,1323,-0.21,-0.04,-0.35,-0.19,-0.24,-0.15,-1.18,-0.08027210884
Kosi Thompson,TOR,2023,CM,650,-0.34,-0.02,0.19,-0.21,-0.07,-0.13,-0.58,-0.08030769231
Latif Blessing,"NER, TOR",2023,CM,1277,-0.34,-0.19,0.63,-0.61,-0.43,-0.19,-1.14,-0.08034455756
Sean Nealis,NYRB,2023,CB,3056,-0.38,-0.32,-1.61,-0.68,0.08,0.16,-2.75,-0.0809882199
Noel Caliskan,POR,2023,CM,298,-0.04,0.15,-0.13,-0.2,0,-0.04,-0.27,-0.08154362416
Yamil Asad,DCU,2023,W,648,-0.37,-0.03,-0.03,-0.03,-0.01,-0.12,-0.59,-0.08194444444
Gaoussou Samake,DCU,2023,FB,384,-0.09,-0.05,-0.13,-0.08,-0.01,0,-0.35,-0.08203125
Nathan Saliba,MTL,2023,CM,1948,-0.12,-0.09,0.1,-1.04,-0.46,-0.2,-1.81,-0.08362422998
Sebastian Anderson,COL,2023,FB,289,-0.01,-0.02,0.01,-0.17,-0.05,-0.03,-0.27,-0.08408304498
Diego Fagundez,"LAG, ATX",2023,W,1754,-0.52,0.02,-0.27,-0.21,-0.41,-0.25,-1.64,-0.08415051311
Tah Brian Anunga,NSH,2023,CM,648,-0.18,-0.04,0.28,-0.3,-0.22,-0.15,-0.61,-0.08472222222
Tom Barlow,NYRB,2023,ST,2067,-0.81,-0.29,0.11,0.2,-0.86,-0.29,-1.95,-0.08490566038
Bertin Jacquesson,RSL,2023,W,400,-0.13,-0.06,-0.05,0.04,-0.17,-0.01,-0.38,-0.0855
Dylan Nealis,NYRB,2023,CB,1197,-0.01,-0.21,-0.83,-0.04,-0.04,-0.01,-1.14,-0.08571428571
Ethan Finlay,ATX,2023,W,1883,-0.35,-0.17,-0.31,-0.26,-0.57,-0.13,-1.8,-0.08603292618
Corentin Jean,MIA,2023,W,899,-0.38,-0.01,0.24,-0.2,-0.43,-0.09,-0.86,-0.08609566185
Adama Diomande,TOR,2023,ST,176,0.08,-0.05,-0.04,0.13,-0.2,-0.09,-0.17,-0.08693181818
Sam Junqua,FCD,2023,FB,1153,-0.14,-0.29,-0.23,-0.34,-0.04,-0.08,-1.12,-0.08742411101
Denil Maldonado,LAFC,2023,CB,1880,-0.05,-0.38,-1.61,0.04,0.24,-0.08,-1.83,-0.08760638298
Machop Chol,ATL,2023,W,575,0.13,-0.26,-0.16,-0.32,0,0.04,-0.56,-0.08765217391
David Ruiz,MIA,2023,CM,1343,-0.19,0.16,-0.11,-0.66,-0.37,-0.14,-1.31,-0.08778853313
Fredy Montero,SEA,2023,ST,512,-0.27,0.22,-0.08,-0.02,-0.31,-0.03,-0.5,-0.087890625
Kendall Burks,CHI,2023,CB,583,-0.02,-0.24,-0.18,-0.1,-0.03,-0.02,-0.57,-0.08799313894
Malik Pinto,CIN,2023,CM,505,-0.05,-0.1,0.07,0.06,-0.32,-0.16,-0.5,-0.08910891089
Joey Akpunonu,CIN,2023,FB,10,0,0,-0.01,0,0,0,-0.01,-0.09
Ibrahim Kasule,NYRB,2023,W,30,-0.1,0.03,0.04,-0.02,0.04,-0.02,-0.03,-0.09
Julian Gaines,LAFC,2023,FB,70,-0.07,0,0.04,-0.01,-0.01,-0.01,-0.07,-0.09
Leon Flach,PHI,2023,CM,2004,-0.49,0.14,-0.04,-0.6,-0.68,-0.35,-2.02,-0.09071856287
Quinn Sullivan,PHI,2023,ST,816,-0.07,-0.09,0.03,-0.12,-0.41,-0.16,-0.83,-0.09154411765
Mason Toye,MTL,2023,ST,722,-0.06,0.15,-0.08,-0.11,-0.55,-0.08,-0.74,-0.09224376731
William Sands,CLB,2023,FB,529,0,0.05,-0.2,-0.37,0,-0.02,-0.55,-0.09357277883
Jozy Altidore,NER,2023,ST,250,0.05,0,-0.07,-0.04,-0.24,0.04,-0.26,-0.0936
Sebastián Blanco,POR,2023,W,527,-0.06,-0.01,-0.12,0.05,-0.3,-0.11,-0.55,-0.09392789374
Facundo Farías,MIA,2023,W,923,-0.03,-0.05,-0.09,-0.31,-0.48,-0.01,-0.97,-0.09458288191
Rafael Navarro,COL,2023,ST,950,-0.11,-0.14,-0.07,-0.1,-0.53,-0.05,-1,-0.09473684211
C.J. Sapong,"NSH, TOR",2023,ST,1783,-0.28,-0.3,-0.23,0.02,-0.59,-0.51,-1.88,-0.09489624229
Scott Caldwell,RSL,2023,CM,189,-0.01,0,-0.03,-0.07,-0.05,-0.04,-0.2,-0.09523809524
Georgios Koutsias,CHI,2023,ST,1155,-0.31,-0.15,-0.2,-0.78,0.25,-0.05,-1.23,-0.09584415584
Kevin Molino,CLB,2023,AM,103,-0.06,-0.02,-0.03,0.08,-0.04,-0.04,-0.11,-0.09611650485
Thorleifur Úlfarsson,HOU,2023,ST,567,-0.24,0,-0.2,-0.14,-0.09,0.05,-0.61,-0.09682539683
Alan Velasco,FCD,2023,W,2435,0.31,-0.23,0.22,-0.89,-1.73,-0.29,-2.62,-0.09683778234
Benjamin Cremaschi,MIA,2023,CM,1993,-1.47,0.15,-0.13,-0.8,0.17,-0.07,-2.16,-0.09754139488
Caleb Wiley,ATL,2023,FB,2565,-0.27,-0.16,-1,-0.47,-0.5,-0.38,-2.78,-0.09754385965
Justin Rasmussen,POR,2023,FB,378,-0.23,-0.02,-0.15,0.02,0.04,-0.07,-0.41,-0.09761904762
Abdoulaye Cissoko,SEA,2023,CB,101,0.01,-0.02,-0.05,0.1,-0.12,-0.04,-0.11,-0.09801980198
Benjamin Kikanovic,SJE,2023,W,837,-0.14,-0.01,0.03,-0.16,-0.46,-0.16,-0.92,-0.09892473118
Themi Antonoglou,TOR,2023,FB,521,0.07,-0.04,-0.16,-0.3,-0.09,-0.05,-0.58,-0.1001919386
Damion Lowe,PHI,2023,CB,1403,-0.07,-0.41,-0.75,-0.39,0,0.03,-1.58,-0.1013542409
Jesus Batiz,TOR,2023,W,71,0.03,-0.01,0,-0.02,-0.08,-0.01,-0.08,-0.1014084507
Liam Fraser,FCD,2023,CM,410,-0.18,-0.04,-0.17,0.03,-0.08,-0.02,-0.47,-0.1031707317
Russell Teibert,VAN,2023,CM,183,-0.01,0,0,-0.17,-0.08,0.05,-0.21,-0.1032786885
Marinos Tzionis,SKC,2023,W,861,-0.46,0.05,0.15,-0.3,-0.37,-0.07,-1,-0.1045296167
Ilias Iliadis,MTL,2023,FB,283,-0.06,-0.02,-0.09,-0.03,-0.11,-0.02,-0.33,-0.1049469965
Damir Kreilach,RSL,2023,ST,1468,0.23,-0.38,-0.2,-0.79,-0.57,-0.01,-1.72,-0.1054495913
Ahmed Hamdi,MTL,2023,AM,546,-0.12,-0.05,-0.02,-0.05,-0.29,-0.11,-0.64,-0.1054945055
Dylan Teves,SEA,2023,W,469,-0.25,-0.03,0.01,-0.25,0.11,-0.14,-0.55,-0.10554371
Marlon Vargas,COL,2023,CM,17,0,0,-0.01,0,0,0,-0.02,-0.1058823529
Rémi Cabral,COL,2023,FB,17,0,-0.01,-0.03,-0.01,0.01,0,-0.02,-0.1058823529
Diego Gomez,MIA,2023,CM,441,-0.01,0.02,0.12,-0.51,-0.06,-0.07,-0.52,-0.106122449
Dru Yearwood,NYRB,2023,CM,953,-0.24,-0.06,-0.04,-0.08,-0.39,-0.31,-1.13,-0.1067156348
Matai Akinmboni,DCU,2023,CB,202,0.01,-0.23,0.02,-0.05,0.01,-0.01,-0.24,-0.1069306931
Corey Baird,HOU,2023,ST,2555,-0.51,-0.08,-0.35,-1.04,-0.78,-0.32,-3.07,-0.1081409002
Gaston Gonzalez,ORL,2023,W,831,-0.1,-0.11,-0.1,-0.36,-0.17,-0.14,-1,-0.1083032491
Wikelman Carmona,NYRB,2023,W,763,-0.22,0.03,-0.27,-0.12,-0.34,-0.01,-0.93,-0.1096985583
Robert Voloder,SKC,2023,CB,1149,0.06,-0.12,-0.52,-0.66,-0.09,-0.08,-1.41,-0.1104438642
Vinicius Mello,CLT,2023,W,73,-0.06,0.03,-0.02,-0.02,0.02,-0.03,-0.09,-0.1109589041
Rida Zouhir,MTL,2023,CM,243,0,-0.01,0.02,-0.16,-0.11,-0.03,-0.3,-0.1111111111
Victor Griffith,POR,2023,CM,97,0,0,-0.01,-0.05,-0.03,-0.03,-0.12,-0.1113402062
Braian Galván,COL,2023,W,750,-0.32,-0.03,-0.05,0.12,-0.41,-0.23,-0.93,-0.1116
Andre Shinyashiki,CLT,2023,CM,222,-0.17,0,-0.04,-0.1,0.04,-0.02,-0.28,-0.1135135135
Carlos Ferreira,HOU,2023,ST,363,-0.2,-0.02,-0.01,-0.34,0.21,-0.09,-0.46,-0.1140495868
Ethan Zubak,NSH,2023,ST,188,0,-0.02,0.1,-0.07,-0.11,-0.12,-0.24,-0.114893617
Brooklyn Raines,HOU,2023,CM,234,0.05,0.01,-0.01,-0.21,-0.06,-0.07,-0.3,-0.1153846154
Nicolás Stefanelli,MIA,2023,W,1470,-0.96,0.11,0,-1.09,0.14,-0.1,-1.9,-0.1163265306
Mauricio Cuevas,LAG,2023,FB,468,-0.02,-0.01,-0.26,-0.17,-0.06,-0.08,-0.61,-0.1173076923
Zayden Bello,MIN,2023,W,23,-0.01,0,0,-0.02,0,-0.01,-0.03,-0.1173913043
Jackson Hopkins,DCU,2023,CM,230,-0.04,-0.01,-0.07,-0.01,-0.14,-0.03,-0.3,-0.1173913043
José Mulato,FCD,2023,ST,151,0.05,-0.05,-0.05,0.04,-0.11,-0.08,-0.2,-0.119205298
Justin Rennicks,NER,2023,W,465,0.02,-0.23,-0.17,-0.26,0.19,-0.18,-0.63,-0.1219354839
Prince Osei Owusu,TOR,2023,ST,286,0,0.02,0.07,-0.27,-0.07,-0.15,-0.39,-0.1227272727
Martín Cáceres,LAG,2023,CB,1450,-0.36,-0.16,-1.3,-0.09,-0.1,0.03,-1.98,-0.1228965517
Herbert Endeley,FCD,2023,W,262,0.06,-0.01,-0.1,-0.03,-0.2,-0.08,-0.36,-0.1236641221
Noah Cobb,ATL,2023,CB,218,-0.03,0.02,-0.09,-0.12,-0.05,-0.02,-0.3,-0.123853211
Marvin Loría,POR,2023,W,855,-0.61,-0.03,0.03,-0.4,-0.06,-0.14,-1.19,-0.1252631579
Bakaye Dibassy,MIN,2023,CB,531,-0.18,-0.26,-0.03,-0.16,-0.06,-0.06,-0.74,-0.1254237288
Bryce Duke,"MIA, MTL",2023,AM,2080,-0.96,-0.01,0.15,-1.03,-0.86,-0.22,-2.93,-0.1267788462
Rodney Redes,ATX,2023,W,553,-0.42,0.01,-0.11,-0.12,-0.03,-0.11,-0.78,-0.1269439421
Josef Martínez,MIA,2023,ST,1934,-0.67,-0.23,-0.4,-0.06,-1.09,-0.28,-2.73,-0.1270423992
Diego Gutiérrez,POR,2023,W,293,0.05,0.01,-0.07,-0.02,-0.28,-0.11,-0.42,-0.1290102389
Matthew Hoppe,SJE,2023,W,470,-0.64,-0.06,0.02,-0.36,0.36,0,-0.68,-0.130212766
Matías Pellegrini,NYC,2023,W,1297,-0.5,-0.11,-0.12,-0.36,-0.38,-0.41,-1.88,-0.1304548959
Sidnei Tavares,COL,2023,DM,315,0.02,0.06,-0.17,-0.15,-0.12,-0.08,-0.46,-0.1314285714
Amar Sejdic,ATL,2023,DM,1181,-0.32,0.01,-0.26,-0.62,-0.39,-0.16,-1.73,-0.1318374259
Kristian Fletcher,DCU,2023,W,177,-0.02,-0.02,-0.06,-0.04,-0.08,-0.04,-0.26,-0.1322033898
Esmir Bajraktarevic,NER,2023,W,551,-0.4,-0.06,-0.08,-0.31,-0.04,0.08,-0.81,-0.1323049002
Brenner,CIN,2023,ST,587,-0.23,-0.06,0.04,-0.43,-0.11,-0.07,-0.87,-0.1333901193
Nathan,POR,2023,ST,665,-0.53,-0.13,-0.07,-0.04,-0.04,-0.19,-1,-0.1353383459
Danny Leyva,"SEA, COL",2023,CM,746,-0.25,-0.35,-0.08,-0.1,-0.23,-0.15,-1.16,-0.1399463807
Ralph Priso-Mbongue,COL,2023,DM,1174,-0.14,-0.32,-0.17,-0.49,-0.42,-0.31,-1.85,-0.1418228279
Collin Smith,FCD,2023,FB,113,-0.06,0,-0.03,0.02,-0.07,-0.04,-0.18,-0.1433628319
Ajani Fortune,ATL,2023,DM,457,0.02,-0.01,-0.52,-0.19,-0.05,0.02,-0.73,-0.1437636761
Ousseni Bouda,SJE,2023,W,212,-0.36,-0.06,-0.1,-0.07,0.14,0.11,-0.34,-0.1443396226
José Fajardo,DCU,2023,ST,276,0.02,-0.07,-0.06,-0.39,0.16,-0.11,-0.45,-0.1467391304
Jackson Conway,ATL,2023,ST,61,0.02,-0.01,0.02,-0.02,-0.09,-0.02,-0.1,-0.1475409836
Ayo Akinola,"TOR, SJE",2023,ST,724,0.13,-0.09,0.09,-0.52,-0.57,-0.23,-1.19,-0.1479281768
Jack Price,COL,2023,CM,42,0.01,0,-0.02,-0.03,-0.02,-0.01,-0.07,-0.15
Erik Hurtado,DCU,2023,ST,329,-0.64,-0.05,0.02,-0.25,0.42,-0.05,-0.55,-0.1504559271
Daniel Crisostomo,LAFC,2023,CM,323,0.01,-0.01,-0.31,-0.08,-0.08,-0.06,-0.54,-0.1504643963
Alan Pulido,SKC,2023,ST,2395,-1.22,-0.1,-0.15,-0.66,-1.67,-0.28,-4.08,-0.1533194154
Luke Haakenson,NSH,2023,W,356,-0.03,-0.04,-0.05,-0.21,-0.14,-0.15,-0.61,-0.1542134831
Lawson Sunderland,MIA,2023,CM,70,-0.05,0,0.01,-0.05,-0.01,-0.03,-0.12,-0.1542857143
Oliver Larraz,COL,2023,DM,29,-0.06,0,0.01,0,-0.01,-0.01,-0.05,-0.1551724138
Nolan Norris,FCD,2023,CM,139,-0.01,0,-0.05,-0.09,-0.05,-0.04,-0.24,-0.1553956835
Paul Rothrock,SEA,2023,W,63,0,0,-0.01,-0.12,-0.03,0.05,-0.11,-0.1571428571
Joaquín Torres,PHI,2023,AM,422,-0.66,0.05,0.01,0.11,-0.25,-0.01,-0.75,-0.1599526066
Yosuke Hanya,COL,2023,ST,56,-0.01,0,-0.02,-0.04,-0.05,0.02,-0.1,-0.1607142857
Chase Gasper,HOU,2023,FB,233,-0.07,-0.22,-0.12,0.04,-0.02,-0.03,-0.42,-0.1622317597
Alonso Martínez,NYC,2023,W,44,-0.21,0,0.02,-0.01,0.12,0.01,-0.08,-0.1636363636
Ibrahim Aliyu,HOU,2023,ST,1356,-1.41,-0.25,0.08,-0.88,0.28,-0.35,-2.53,-0.167920354
Edison Azcona,MIA,2023,W,75,-0.07,0.01,-0.04,-0.08,0.04,0.02,-0.14,-0.168
Kipp Keller,ATX,2023,CB,505,-0.15,0.06,-0.27,-0.64,0.07,-0.05,-0.99,-0.1764356436
Sota Kitahara,SEA,2023,FB,5,0,0,0,0,0,0,-0.01,-0.18
Hugo Mbongue,TOR,2023,ST,306,0.1,-0.04,-0.01,-0.2,-0.31,-0.16,-0.62,-0.1823529412
Miguel Berry,ATL,2023,ST,1218,-0.16,-0.07,-0.14,0.15,-1.64,-0.62,-2.48,-0.1832512315
Sean Rea,MTL,2023,AM,811,-0.22,-0.13,-0.13,-0.46,-0.42,-0.31,-1.66,-0.184217016
Júnior Urso,ORL,2023,DM,321,0.01,-0.01,-0.01,-0.34,-0.21,-0.1,-0.67,-0.1878504673
Nökkvi Þeyr Þórisson,STL,2023,ST,328,-0.04,0,-0.28,-0.04,-0.25,-0.08,-0.69,-0.1893292683
Ilijah Paul,RSL,2023,ST,109,0.02,-0.01,-0.04,-0.1,-0.09,-0.02,-0.23,-0.1899082569
Caden Glover,STL,2023,DM,18,0,0,-0.02,-0.01,-0.01,0,-0.04,-0.2
Ronald Donkor,NYRB,2023,AM,63,0,0,0.06,-0.15,-0.03,-0.02,-0.14,-0.2
Jack Panayotou,NER,2023,W,367,-0.39,-0.05,-0.03,-0.15,-0.12,-0.07,-0.82,-0.2010899183
Jaroslaw Niezgoda,POR,2023,ST,755,-0.03,-0.07,0.11,-0.65,-0.76,-0.29,-1.7,-0.2026490066
Arquimides Ordonez,CIN,2023,ST,316,-0.4,0.03,-0.03,-0.17,-0.01,-0.14,-0.72,-0.2050632911
Victor Ulloa,MIA,2023,CM,210,-0.03,-0.01,-0.23,-0.03,-0.12,-0.07,-0.49,-0.21
Thai Baribo,PHI,2023,ST,179,-0.09,-0.02,-0.02,-0.16,-0.05,-0.09,-0.42,-0.2111731844
Hamady Diop,CLT,2023,FB,46,0,0,-0.08,-0.01,-0.01,-0.01,-0.11,-0.2152173913
O’Vonte Mullings,NYRB,2023,FB,53,-0.07,0.01,-0.01,-0.06,0.01,-0.01,-0.13,-0.220754717
Sebastian Kowalczyk,HOU,2023,AM,388,-0.34,-0.26,-0.05,-0.08,-0.09,-0.13,-0.96,-0.2226804124
Ryan Sailor,MIA,2023,CB,362,-0.38,0.02,0.03,-0.41,-0.1,-0.06,-0.9,-0.2237569061
Karifa Yao,VAN,2023,CM,4,0,0,0,0,0,0,-0.01,-0.225
Stiven Jimenez,CIN,2023,ST,4,0,0,0,0,-0.01,0,-0.01,-0.225
Zavier Gozo,RSL,2023,W,12,-0.01,0,-0.01,-0.03,0.02,-0.01,-0.03,-0.225
John Klein,STL,2023,AM,32,0,0,0,-0.07,0,-0.01,-0.08,-0.225
Christopher Hegardt,CLT,2023,W,75,-0.07,-0.04,-0.03,0,-0.03,-0.03,-0.19,-0.228
Sega Coulibaly,LAG,2023,CB,101,0.02,-0.24,-0.04,0.04,-0.02,-0.01,-0.26,-0.2316831683
Stephen Afrifa,SKC,2023,ST,65,-0.11,-0.01,0.03,0.03,-0.06,-0.05,-0.17,-0.2353846154
Thiago Andrade,NYC,2023,W,178,-0.22,-0.02,-0.21,-0.05,0.06,-0.04,-0.48,-0.2426966292
Luke Brennan,ATL,2023,AM,11,0,0,-0.01,-0.01,-0.01,-0.01,-0.03,-0.2454545455
Hayden Sargis,DCU,2023,CB,22,0,0,-0.03,0.01,-0.03,-0.01,-0.06,-0.2454545455
Ethan Dobbelaere,SEA,2023,W,101,-0.13,0.01,-0.06,-0.1,0.02,-0.03,-0.28,-0.2495049505
Harvey Neville,MIA,2023,FB,252,-0.11,0,-0.31,-0.19,-0.05,-0.04,-0.7,-0.25
Moses Nyeman,RSL,2023,CM,36,-0.04,0,-0.03,-0.03,-0.02,0.01,-0.1,-0.25
Michael Baldisimo,SJE,2023,CM,358,-0.11,-0.33,-0.27,-0.08,-0.14,-0.1,-1.02,-0.256424581
Jordan Faria,TOR,2023,W,28,-0.02,0,-0.01,0,-0.04,-0.01,-0.08,-0.2571428571
Benjamin Stitz,CIN,2023,ST,23,-0.03,0,-0.01,0.02,-0.02,-0.02,-0.07,-0.2739130435
Erik López,ATL,2023,ST,28,0.01,0,-0.01,-0.02,-0.05,-0.02,-0.09,-0.2892857143
Antony Curic,TOR,2023,FB,3,-0.01,0,0,0,0,0,-0.01,-0.3
Jamal Thiare,ATL,2023,ST,68,-0.17,0,0.04,-0.08,-0.01,-0.03,-0.25,-0.3308823529
Jordan Perruzza,TOR,2023,ST,144,-0.49,-0.02,-0.03,-0.13,0.07,0.04,-0.56,-0.35
Héctor Jiménez,ATX,2023,FB,55,-0.05,0.01,-0.18,0,0.01,-0.02,-0.22,-0.36
Aaron Bibout,LAG,2023,ST,33,0.01,-0.01,-0.01,-0.07,-0.04,-0.02,-0.14,-0.3818181818
Adam Pearlman,TOR,2023,CB,11,-0.06,0,0.01,-0.03,0.01,0,-0.08,-0.6545454545
Luis Flores,SKC,2023,W,8,-0.01,0,0,-0.03,-0.01,0,-0.06,-0.675
Mikael Marques,MIN,2023,W,14,-0.01,0,-0.32,0.01,-0.01,-0.01,-0.35,-2.25